sei_numero,status,cpr,upm,publico_previsto,natureza,evento,endereco,cidade,inicio,fim,local_caracteristica,transito,Coluna 14,latitude,longitude
00054-00071347/2023-42,ENC,6º CPR,9º BPM,2000,JUNINA/ESCOLA,EC CACHOEIRINHA,"LOTE 1/8, SETOR CENTRAL ",Gama,2023-06-17 15:00:00,2023-06-17 20:00:00,,,2023-01-08,,
00080-00095957/2023-32,ENC,6º CPR,9º BPM,2500,JUNINA/ESCOLA,FESTA JUNINA - CEM 01 GAMA,EQ18/21 SETOR LESTE GAMA,Gama,2023-06-17 15:00:00,2023-06-17 20:00:00,,,2023-05-25,,
00054-00071347/2023-42,ENC,6º CPR,26º BPM,0,JUNINA/ESCOLA,EC CACHOEIRINHA,QR 307 CONJUNTO V LOTE 02,Santa Maria,2023-06-17 16:30:00,2023-06-18 00:00:00,,,2023-01-08,,
00054-00071347/2023-42,ENC,6º CPR,9º BPM,0,JUNINA/ESCOLA,EC CACHOEIRINHA,QUADRA 55 – LOTE 16 – SETOR CENTRAL –,Gama,2023-06-17 17:00:00,2023-06-17 23:50:00,,,2023-01-08,,
00050-00005622/2023-42,ENC,6º CPR,9º BPM,1000,JUNINA,25º ARRAIÁ DA IMACULADA,GAMA - DF - ÁREA ESPECIAL 02 LOTE 08 - SETOR CENTRAL,Gama,2023-06-17 18:00:00,2023-06-18 01:00:00,PUBA,,2023-05-10,,
00050-00006064/2023-32,ENC,6º CPR,27º BPM,500,JUNINA,FESTA JUNINA - PARÓQUIA SÃO GABRIEL ARCANJO - RECANTO DAS EMAS,RECANTO DAS EMAS - DF - CAPELA SANTOS ANJOS DA GUARDA - ÁREA ESPECIAL - QUADRA 206,Recanto das Emas,2023-06-17 19:00:00,2023-06-18 01:00:00,PRIF,,2023-05-18,,
00050-00006975/2023-60,ENC,6º CPR,9º BPM,100,JUNINA,FESTA JUNINA DA CAPELA SÃO LUIZ GONZAGA,GAMA - DF - ENTRE AS QUADRAS 13/15 - SETOR SUL,Gama,2023-06-17 19:00:00,2023-06-17 23:00:00,PRIF,,2023-06-07,,
00054-00071347/2023-42,ENC,6º CPR,26º BPM,0,JUNINA/ESCOLA,EC CACHOEIRINHA,RUA DAS DÁLIAS LOTES 2/6 CIDADE NOVA (DVO) SANTA MARIA,Santa Maria,2023-06-17 19:00:00,2023-06-17 22:00:00,,,2023-01-08,,
00050-00005622/2023-42,ENC,6º CPR,9º BPM,1000,JUNINA,25º ARRAIÁ DA IMACULADA,GAMA - DF - ÁREA ESPECIAL 02 LOTE 08 - SETOR CENTRAL,Gama,2023-06-18 18:00:00,2023-06-19 01:00:00,PUBA,,2023-05-10,,
00050-00006064/2023-32,ENC,6º CPR,27º BPM,500,JUNINA,FESTA JUNINA - PARÓQUIA SÃO GABRIEL ARCANJO - RECANTO DAS EMAS,RECANTO DAS EMAS - DF - CAPELA SANTOS ANJOS DA GUARDA - ÁREA ESPECIAL - QUADRA 206,Recanto das Emas,2023-06-18 19:00:00,2023-06-19 01:00:00,PRIF,,2023-05-18,,
